epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,913.113,0.83425,0.26708,0.00061,0.98217,0.98133,0.99421,0.79942,0.75819,0.22572,0.00065,0.0011882,0.0011882,0.0011882
43,934.496,0.81959,0.26923,0.0006,0.97628,0.99482,0.99437,0.8358,0.64259,0.20016,0.00054,0.0011684,0.0011684,0.0011684
44,956.117,0.83068,0.26826,0.00062,0.98926,0.98346,0.99464,0.81709,0.69106,0.20693,0.00058,0.0011486,0.0011486,0.0011486
45,977.487,0.83911,0.2711,0.00062,0.99013,0.98346,0.99463,0.81544,0.72104,0.2083,0.0006,0.0011288,0.0011288,0.0011288
46,998.918,0.80119,0.25956,0.00059,0.98535,0.99491,0.99468,0.8249,0.69918,0.21098,0.00059,0.001109,0.001109,0.001109
47,1020.3,0.815,0.26986,0.0006,0.98112,0.99164,0.99468,0.83707,0.64145,0.19879,0.00053,0.0010892,0.0010892,0.0010892
48,1041.98,0.79865,0.2592,0.00059,0.9909,0.98092,0.99479,0.83451,0.64984,0.20529,0.00054,0.0010694,0.0010694,0.0010694
49,1063.38,0.76851,0.24897,0.00056,0.98152,0.98855,0.99447,0.81525,0.70105,0.22019,0.00059,0.0010496,0.0010496,0.0010496
50,1084.92,0.80138,0.2572,0.00061,0.98968,0.98092,0.99446,0.80634,0.73569,0.23682,0.00064,0.0010298,0.0010298,0.0010298
51,1106.27,0.84012,0.28404,0.00061,0.98977,0.98454,0.99465,0.83455,0.64443,0.22178,0.00054,0.00101,0.00101,0.00101
52,1127.71,0.83199,0.27139,0.00061,0.99453,0.98601,0.99485,0.81285,0.7223,0.22601,0.0006,0.0009902,0.0009902,0.0009902
53,1149.1,0.76934,0.25452,0.00057,0.99169,0.98346,0.99467,0.81656,0.7072,0.21117,0.00059,0.0009704,0.0009704,0.0009704
54,1170.7,0.75925,0.25427,0.00055,0.97608,0.98658,0.99425,0.82424,0.67473,0.20887,0.00057,0.0009506,0.0009506,0.0009506
55,1192.22,0.77979,0.24909,0.00057,0.9897,0.97809,0.99446,0.83338,0.65415,0.20512,0.00054,0.0009308,0.0009308,0.0009308
