frame,id,x,y
554,2,1644,612
555,2,1644,612
556,2,1644,613
557,2,1644,614
558,2,1643,615
559,2,1643,616
560,2,1643,617
561,2,1642,618
562,2,1642,618
563,2,1642,618
564,2,1642,619
565,2,1642,620
566,2,1642,621
567,2,1642,621
568,2,1641,622
569,2,1641,623
570,2,1641,624
571,2,1640,624
572,2,1640,625
573,2,1640,626
574,2,1640,627
575,2,1640,627
576,2,1640,628
577,2,1639,629
578,2,1639,629
579,2,1638,630
580,2,1637,630
581,2,1637,631
582,2,1637,632
583,2,1636,633
584,2,1636,633
585,2,1635,634
586,2,1635,635
587,2,1634,636
588,2,1634,636
589,2,1633,637
590,2,1633,637
591,2,1632,637
592,2,1631,638
593,2,1630,638
594,2,1630,639
595,2,1629,639
596,2,1629,640
597,2,1628,640
598,2,1628,641
599,2,1627,641
600,2,1627,641
601,2,1626,641
602,2,1626,642
603,2,1625,642
604,2,1625,642
605,2,1625,642
606,2,1625,642
607,2,1625,642
608,2,1625,642
609,2,1625,642
610,2,1625,641
611,2,1626,641
612,2,1626,641
613,2,1626,641
614,2,1626,641
615,2,1626,641
616,2,1626,641
617,2,1626,641
618,2,1625,642
619,2,1625,642
620,2,1625,642
621,2,1625,642
622,2,1625,642
623,2,1625,642
624,2,1625,642
625,2,1625,642
626,2,1626,641
627,2,1626,641
628,2,1626,641
629,2,1626,641
630,2,1626,641
631,2,1626,641
632,2,1626,641
633,2,1626,642
634,2,1625,642
635,2,1625,642
636,2,1625,642
637,2,1625,642
638,2,1625,642
639,2,1625,642
640,2,1625,642
641,2,1625,641
642,2,1626,641
643,2,1626,641
644,2,1626,642
645,2,1626,642
646,2,1626,643
647,2,1626,643
648,2,1625,644
649,2,1625,644
650,2,1624,644
651,2,1624,645
652,2,1624,645
653,2,1624,645
654,2,1624,645
655,2,1624,645
656,2,1624,645
657,2,1625,645
658,2,1624,646
659,2,1624,646
660,2,1623,646
661,2,1623,646
662,2,1623,645
663,2,1623,645
664,2,1623,644
665,2,1623,644
666,2,1623,644
667,2,1624,644
668,2,1624,644
669,2,1624,644
670,2,1624,644
671,2,1624,645
672,2,1624,645
673,2,1624,645
674,2,1624,645
675,2,1623,645
676,2,1623,645
677,2,1623,645
678,2,1624,644
679,2,1624,644
680,2,1625,643
681,2,1625,643
682,2,1625,643
683,2,1625,643
684,2,1625,643
685,2,1625,643
686,2,1626,643
687,2,1626,644
688,2,1626,644
689,2,1626,644
690,2,1626,644
691,2,1626,644
692,2,1626,644
693,2,1625,643
694,2,1625,643
695,2,1625,642
696,2,1625,642
697,2,1625,642
698,2,1625,642
699,2,1625,642
700,2,1625,642
701,2,1626,642
702,2,1626,643
703,2,1626,643
704,2,1626,643
705,2,1626,643
706,2,1626,643
707,2,1626,643
708,2,1626,643
709,2,1625,643
710,2,1625,642
711,2,1625,642
712,2,1625,642
713,2,1625,642
714,2,1625,642
715,2,1624,642
716,2,1624,642
717,2,1624,642
718,2,1624,643
719,2,1624,643
720,2,1624,643
721,2,1624,644
722,2,1624,644
723,2,1624,645
724,2,1623,645
725,2,1623,645
726,2,1622,645
727,2,1622,646
728,2,1621,646
729,2,1620,645
730,2,1620,645
731,2,1620,644
732,2,1619,644
733,2,1619,644
734,2,1619,644
735,2,1619,644
736,2,1619,644
737,2,1619,644
738,2,1619,644
739,2,1619,645
740,2,1620,645
741,2,1620,645
742,2,1619,644
743,2,1619,644
744,2,1618,643
745,2,1618,643
746,2,1618,643
747,2,1618,643
748,2,1618,643
749,2,1619,644
750,2,1619,644
751,2,1620,645
752,2,1620,645
753,2,1620,645
754,2,1620,645
755,2,1621,645
756,2,1621,645
757,2,1621,645
758,2,1621,645
759,2,1621,646
760,2,1621,646
761,2,1622,646
762,2,1622,646
763,2,1622,646
764,2,1623,646
765,2,1623,646
766,2,1623,645
767,2,1624,645
768,2,1624,645
769,2,1624,645
770,2,1624,645
771,2,1624,645
772,2,1624,645
773,2,1624,644
774,2,1624,644
775,2,1623,644
776,2,1623,644
777,2,1623,644
778,2,1623,644
779,2,1623,644
780,2,1623,643
781,2,1623,643
782,2,1623,643
783,2,1624,643
784,2,1624,643
785,2,1624,643
786,2,1624,643
787,2,1624,644
788,2,1624,644
789,2,1624,644
790,2,1623,644
791,2,1623,644
792,2,1623,644
793,2,1623,644
794,2,1623,644
795,2,1623,643
796,2,1623,643
797,2,1623,643
798,2,1624,643
799,2,1624,643
800,2,1624,643
801,2,1624,643
802,2,1624,643
803,2,1624,644
804,2,1624,644
805,2,1624,644
806,2,1623,644
807,2,1623,644
808,2,1623,644
809,2,1623,644
810,2,1623,644
811,2,1623,643
812,2,1623,643
813,2,1623,643
814,2,1624,643
815,2,1624,643
816,2,1624,643
817,2,1624,643
818,2,1624,644
819,2,1624,644
820,2,1624,644
821,2,1624,644
822,2,1624,644
823,2,1624,644
824,2,1624,644
825,2,1624,644
826,2,1624,643
827,2,1624,643
828,2,1624,642
829,2,1625,642
830,2,1626,641
831,2,1626,641
832,2,1627,640
833,2,1627,639
834,2,1628,639
835,2,1628,638
836,2,1629,638
837,2,1629,637
838,2,1630,637
839,2,1631,637
840,2,1631,636
841,2,1632,636
842,2,1633,636
843,2,1633,635
844,2,1634,635
845,2,1635,634
846,2,1635,634
847,2,1636,633
848,2,1636,633
849,2,1637,632
850,2,1638,631
851,2,1638,631
852,2,1639,630
853,2,1639,630
854,2,1640,629
855,2,1640,628
856,2,1641,627
857,2,1641,626
858,2,1641,626
859,2,1642,626
860,2,1642,625
861,2,1642,625
862,2,1642,624
863,2,1642,623
864,2,1642,623
865,2,1642,622
866,2,1642,622
868,2,1642,621
869,2,1642,620
870,2,1642,619
871,2,1641,618
872,2,1642,618
873,2,1642,617
874,2,1643,616
875,2,1643,615
876,2,1643,615
877,2,1643,614
878,2,1644,614
879,2,1644,613
880,2,1644,612
881,2,1644,611
882,2,1644,610
883,2,1644,609
884,2,1645,608
885,2,1645,607
886,2,1645,606
887,2,1645,606
888,2,1645,605
889,2,1645,605
890,2,1645,604
891,2,1646,603
892,2,1646,602
893,2,1646,601
894,2,1646,601
895,2,1646,600
896,2,1646,599
897,2,1646,598
898,2,1645,597
899,2,1645,596
900,2,1645,596
901,2,1646,595
902,2,1646,595
903,2,1647,594
904,2,1647,594
905,2,1647,593
906,2,1648,592
907,2,1648,591
908,2,1648,591
909,2,1649,590
910,2,1649,589
911,2,1649,588
912,2,1650,588
913,2,1650,587
914,2,1651,586
915,2,1651,585
916,2,1652,585
917,2,1652,584
918,2,1653,583
919,2,1653,583
920,2,1654,582
921,2,1654,581
922,2,1655,580
923,2,1655,579
924,2,1655,578
925,2,1656,577
926,2,1656,577
927,2,1657,576
928,2,1657,575
929,2,1657,575
930,2,1658,574
931,2,1658,574
932,2,1659,573
933,2,1659,573
934,2,1659,572
935,2,1660,571
936,2,1660,570
937,2,1661,570
938,2,1661,569
939,2,1662,568
940,2,1662,568
941,2,1662,567
942,2,1663,566
943,2,1663,565
944,2,1664,565
945,2,1664,564
946,2,1665,563
947,2,1665,562
948,2,1666,562
949,2,1667,561
950,2,1667,560
951,2,1667,559
952,2,1668,558
953,2,1669,557
954,2,1669,556
955,2,1670,556
956,2,1670,556
957,2,1670,555
958,2,1671,554
959,2,1671,553
960,2,1671,553
961,2,1672,552
962,2,1672,551
963,2,1673,551
964,2,1673,550
965,2,1673,550
966,2,1674,549
967,2,1674,548
968,2,1675,547
969,2,1675,546
970,2,1676,546
971,2,1676,545
972,2,1676,544
973,2,1677,544
974,2,1677,543
975,2,1678,542
976,2,1678,542
977,2,1678,541
978,2,1679,540
979,2,1679,540
980,2,1680,539
981,2,1680,538
982,2,1681,538
983,2,1681,537
984,2,1681,537
985,2,1681,536
986,2,1682,535
987,2,1682,535
988,2,1683,534
989,2,1683,533
990,2,1684,533
991,2,1684,532
992,2,1684,532
993,2,1684,531
994,2,1685,530
995,2,1685,529
996,2,1686,529
997,2,1686,528
998,2,1686,528
999,2,1686,528
1000,2,1685,528
1001,2,1685,528
1002,2,1684,528
1003,2,1684,528
1004,2,1684,529
1005,2,1684,529
1006,2,1684,529
1007,2,1684,529
1008,2,1684,529
1009,2,1684,528
1010,2,1685,528
1011,2,1685,527
1012,2,1685,527
1013,2,1685,527
1014,2,1686,526
1015,2,1686,526
1016,2,1686,526
1017,2,1686,526
1018,2,1686,526
1019,2,1686,526
1020,2,1686,526
1021,2,1685,526
1022,2,1686,525
1023,2,1686,525
1024,2,1687,526
1025,2,1688,526
1026,2,1688,527
1027,2,1688,527
1028,2,1689,526
1029,2,1690,526
1030,2,1690,525
1031,2,1691,524
1032,2,1691,524
1033,2,1691,523
1034,2,1691,522
1035,2,1691,521
1036,2,1690,520
1037,2,1690,519
1038,2,1689,518
1039,2,1689,517
1040,2,1689,517
1041,2,1689,516
1042,2,1689,516
1043,2,1689,515
1044,2,1688,514
1045,2,1688,513
1046,2,1688,512
1047,2,1688,511
1048,2,1688,510
1049,2,1688,509
1050,2,1688,507
1051,2,1687,507
1052,2,1687,506
1053,2,1687,506
1054,2,1687,505
1055,2,1687,504
1056,2,1686,503
1057,2,1686,502
1058,2,1686,502
1059,2,1686,501
1060,2,1686,500
1061,2,1686,499
1062,2,1686,499
1063,2,1687,498
1064,2,1686,497
1065,2,1686,496
1066,2,1685,495
1067,2,1685,494
1068,2,1685,493
1069,2,1685,491
1070,2,1685,491
1071,2,1685,490
1072,2,1685,490
1073,2,1685,489
1074,2,1684,489
1075,2,1684,488
1076,2,1684,487
1077,2,1684,486
1078,2,1684,485
1079,2,1684,484
1080,2,1684,483
1081,2,1685,483
1082,2,1685,482
1083,2,1685,481
1084,2,1685,481
1085,2,1684,480
1086,2,1684,479
1087,2,1683,478
1089,2,1683,477
1090,2,1683,476
1091,2,1683,475
1092,2,1683,474
1093,2,1683,472
1094,2,1682,471
1095,2,1682,470
1096,2,1681,470
1097,2,1681,470
1098,2,1681,470
1099,2,1681,469
1100,2,1681,469
1103,2,1681,467
1104,2,1681,466
1105,2,1681,465
1109,2,1682,463
1110,2,1682,461
1111,2,1681,460
1112,2,1681,459
1113,2,1680,458
1114,2,1680,457
1115,2,1680,456
1116,2,1680,455
1117,2,1680,454
1118,2,1680,454
1119,2,1681,453
1120,2,1682,453
1121,2,1682,453
1122,2,1683,452
1123,2,1684,451
1124,2,1684,451
1125,2,1685,450
1126,2,1685,450
1127,2,1686,449
1128,2,1686,448
1129,2,1687,447
1130,2,1687,447
1131,2,1688,446
1132,2,1688,446
1133,2,1689,445
1134,2,1689,445
1135,2,1690,444
1136,2,1691,444
1137,2,1691,443
1138,2,1692,442
1139,2,1692,442
1140,2,1693,441
1141,2,1693,440
1142,2,1694,440
1143,2,1694,439
1144,2,1695,438
1145,2,1696,438
1146,2,1696,437
1147,2,1697,436
1148,2,1697,436
1149,2,1698,435
1150,2,1698,435
1151,2,1699,434
1152,2,1700,433
1153,2,1700,433
1154,2,1700,432
1155,2,1700,432
1156,2,1701,431
1157,2,1701,431
1158,2,1702,430
1159,2,1702,430
1160,2,1703,429
1161,2,1703,429
1162,2,1703,429
1163,2,1704,428
1164,2,1705,427
1165,2,1705,427
1166,2,1706,426
1167,2,1706,425
1168,2,1707,424
1169,2,1708,423
1170,2,1708,422
1171,2,1709,421
1172,2,1709,421
1173,2,1710,421
1174,2,1710,420
1175,2,1711,420
1176,2,1711,419
1177,2,1711,418
1178,2,1712,418
1179,2,1713,417
1180,2,1713,417
1181,2,1714,416
1182,2,1715,416
1183,2,1715,415
1184,2,1716,414
1185,2,1716,414
1186,2,1717,413
1187,2,1718,412
1188,2,1719,411
1189,2,1719,411
1190,2,1720,410
1191,2,1721,409
1192,2,1721,408
1193,2,1722,408
1194,2,1722,407
1195,2,1723,406
1196,2,1723,406
1197,2,1724,405
1198,2,1724,404
1199,2,1725,404
1200,2,1725,403
1201,2,1725,403
1202,2,1726,403
1203,2,1726,402
1204,2,1727,401
1205,2,1727,400
1206,2,1728,400
1207,2,1728,399
1208,2,1729,399
1209,2,1729,398
1210,2,1730,397
1211,2,1730,396
1212,2,1731,396
1213,2,1731,395
1214,2,1732,394
1215,2,1732,394
1216,2,1733,393
1217,2,1733,392
1218,2,1733,392
1219,2,1734,391
1220,2,1734,390
1221,2,1735,389
1222,2,1735,389
1223,2,1735,388
1224,2,1735,387
1225,2,1735,386
1226,2,1735,385
1227,2,1734,384
1228,2,1734,383
1229,2,1733,382
1230,2,1733,382
1231,2,1733,382
1232,2,1732,381
1233,2,1732,380
1234,2,1731,379
1235,2,1731,379
1236,2,1731,378
1237,2,1730,377
1238,2,1730,377
1239,2,1730,376
