frame_idx,event_type,player_id,angle,position,timestamp
233,direction_change,2,45.00000000000001,"(1622, 681)",10.916876430205951
236,direction_change,2,45.00000000000001,"(1619, 679)",11.057437070938215
248,direction_change,2,90.0,"(1610, 679)",11.619679633867278
249,direction_change,2,90.0,"(1609, 679)",11.666533180778032
250,direction_change,2,90.0,"(1609, 678)",11.713386727688787
251,direction_change,2,45.00000000000001,"(1608, 677)",11.760240274599543
252,direction_change,2,45.00000000000001,"(1607, 677)",11.807093821510298
254,direction_change,2,90.0,"(1606, 676)",11.900800915331809
255,direction_change,2,45.00000000000001,"(1605, 675)",11.947654462242564
259,direction_change,2,45.00000000000001,"(1602, 673)",12.135068649885584
262,direction_change,2,90.0,"(1601, 672)",12.27562929061785
265,direction_change,2,45.00000000000001,"(1599, 671)",12.416189931350115
266,direction_change,2,90.0,"(1599, 670)",12.46304347826087
267,direction_change,2,90.0,"(1598, 670)",12.509897025171625
269,direction_change,2,90.0,"(1597, 669)",12.603604118993136
270,direction_change,2,90.0,"(1596, 669)",12.650457665903891
274,direction_change,2,45.00000000000001,"(1595, 667)",12.837871853546911
279,direction_change,2,90.0,"(1593, 666)",13.072139588100688
295,direction_change,2,33.690067525979785,"(1590, 664)",13.821796338672769
296,direction_change,2,33.690067525979785,"(1589, 664)",13.868649885583524
297,direction_change,2,45.00000000000001,"(1588, 663)",13.91550343249428
306,direction_change,2,90.0,"(1586, 662)",14.337185354691076
307,direction_change,2,90.0,"(1586, 661)",14.384038901601832
317,direction_change,2,90.0,"(1586, 661)",14.852574370709384
332,direction_change,2,90.0,"(1589, 664)",15.555377574370711
345,direction_change,2,90.0,"(1592, 663)",16.164473684210527
346,direction_change,2,90.0,"(1592, 664)",16.21132723112128
354,direction_change,2,90.0,"(1594, 661)",16.586155606407324
355,direction_change,2,90.0,"(1595, 661)",16.633009153318078
356,direction_change,2,90.0,"(1595, 660)",16.679862700228835
357,direction_change,2,90.0,"(1596, 660)",16.72671624713959
360,direction_change,2,45.00000000000001,"(1597, 658)",16.867276887871853
367,direction_change,2,45.00000000000001,"(1600, 654)",17.195251716247142
368,direction_change,2,90.0,"(1601, 654)",17.242105263157896
369,direction_change,2,45.00000000000001,"(1602, 653)",17.28895881006865
370,direction_change,2,45.00000000000001,"(1602, 652)",17.335812356979407
371,direction_change,2,90.0,"(1603, 652)",17.38266590389016
372,direction_change,2,45.00000000000001,"(1604, 651)",17.429519450800917
384,direction_change,2,90.0,"(1610, 649)",17.99176201372998
387,direction_change,2,45.00000000000001,"(1612, 648)",18.132322654462243
396,direction_change,2,45.00000000000001,"(1619, 646)",18.55400457665904
397,direction_change,2,45.00000000000001,"(1620, 646)",18.600858123569797
402,direction_change,2,90.0,"(1624, 644)",18.835125858123572
403,direction_change,2,90.0,"(1625, 644)",18.881979405034325
414,direction_change,2,45.00000000000001,"(1632, 640)",19.397368421052633
415,direction_change,2,90.0,"(1632, 639)",19.444221967963387
416,direction_change,2,45.00000000000001,"(1633, 638)",19.491075514874144
420,direction_change,2,45.00000000000001,"(1635, 635)",19.678489702517165
421,direction_change,2,90.0,"(1636, 635)",19.72534324942792
422,direction_change,2,45.00000000000001,"(1637, 634)",19.772196796338672
423,direction_change,2,45.00000000000001,"(1637, 633)",19.81905034324943
424,direction_change,2,45.00000000000001,"(1638, 632)",19.865903890160183
426,direction_change,2,45.00000000000001,"(1639, 630)",19.959610983981694
428,direction_change,2,45.00000000000001,"(1640, 628)",20.053318077803205
429,direction_change,2,45.00000000000001,"(1640, 627)",20.10017162471396
430,direction_change,2,45.00000000000001,"(1641, 626)",20.147025171624716
440,direction_change,2,45.00000000000001,"(1641, 619)",20.615560640732266
441,direction_change,2,45.00000000000001,"(1641, 618)",20.662414187643023
447,direction_change,2,45.00000000000001,"(1642, 613)",20.94353546910755
448,direction_change,2,45.00000000000001,"(1642, 612)",20.99038901601831
455,direction_change,2,45.00000000000001,"(1641, 608)",21.318363844393595
459,direction_change,2,45.00000000000001,"(1642, 605)",21.505778032036613
460,direction_change,2,45.00000000000001,"(1642, 604)",21.55263157894737
461,direction_change,2,45.00000000000001,"(1643, 603)",21.599485125858124
464,direction_change,2,45.00000000000001,"(1644, 601)",21.74004576659039
466,direction_change,2,45.00000000000001,"(1645, 599)",21.833752860411902
467,direction_change,2,45.00000000000001,"(1645, 598)",21.880606407322656
470,direction_change,2,45.00000000000001,"(1646, 596)",22.02116704805492
476,direction_change,2,90.0,"(1647, 593)",22.302288329519453
477,direction_change,2,90.0,"(1647, 592)",22.349141876430206
480,direction_change,2,45.00000000000001,"(1648, 590)",22.489702517162474
481,direction_change,2,90.0,"(1649, 590)",22.536556064073228
482,direction_change,2,90.0,"(1649, 589)",22.58340961098398
487,direction_change,2,45.00000000000001,"(1651, 586)",22.81767734553776
494,direction_change,2,45.00000000000001,"(1654, 582)",23.145652173913046
495,direction_change,2,90.0,"(1655, 582)",23.1925057208238
502,direction_change,2,90.0,"(1652, 581)",23.520480549199085
503,direction_change,2,90.0,"(1651, 581)",23.567334096109843
511,direction_change,2,45.00000000000001,"(1652, 584)",23.942162471395882
521,direction_change,2,45.00000000000001,"(1649, 590)",24.410697940503432
531,direction_change,2,45.00000000000001,"(1647, 597)",24.879233409610986
532,direction_change,2,90.0,"(1646, 597)",24.92608695652174
533,direction_change,2,90.0,"(1646, 598)",24.972940503432497
546,direction_change,2,90.0,"(1646, 604)",25.58203661327231
547,direction_change,2,90.0,"(1646, 605)",25.62889016018307
550,direction_change,2,45.00000000000001,"(1645, 608)",25.769450800915333
551,direction_change,2,45.00000000000001,"(1645, 609)",25.816304347826087
552,direction_change,2,45.00000000000001,"(1644, 610)",25.863157894736844
553,direction_change,2,45.00000000000001,"(1644, 611)",25.910011441647598
558,direction_change,2,45.00000000000001,"(1643, 615)",26.144279176201376
559,direction_change,2,45.00000000000001,"(1643, 616)",26.19113272311213
561,direction_change,2,45.00000000000001,"(1642, 618)",26.28483981693364
569,direction_change,2,45.00000000000001,"(1641, 623)",26.65966819221968
571,direction_change,2,90.0,"(1640, 624)",26.75337528604119
572,direction_change,2,90.0,"(1640, 625)",26.800228832951948
577,direction_change,2,45.00000000000001,"(1639, 629)",27.034496567505723
580,direction_change,2,45.00000000000001,"(1637, 630)",27.175057208237988
581,direction_change,2,90.0,"(1637, 631)",27.221910755148745
583,direction_change,2,45.00000000000001,"(1636, 633)",27.315617848970252
586,direction_change,2,45.00000000000001,"(1635, 635)",27.45617848970252
587,direction_change,2,45.00000000000001,"(1634, 636)",27.503032036613273
592,direction_change,2,45.00000000000001,"(1631, 638)",27.73729977116705
593,direction_change,2,45.00000000000001,"(1630, 638)",27.784153318077806
594,direction_change,2,90.0,"(1630, 639)",27.83100686498856
595,direction_change,2,90.0,"(1629, 639)",27.877860411899317
596,direction_change,2,90.0,"(1629, 640)",27.92471395881007
597,direction_change,2,90.0,"(1628, 640)",27.971567505720824
598,direction_change,2,90.0,"(1628, 641)",28.01842105263158
599,direction_change,2,90.0,"(1627, 641)",28.065274599542334
602,direction_change,2,90.0,"(1626, 642)",28.205835240274602
603,direction_change,2,90.0,"(1625, 642)",28.252688787185356
611,direction_change,2,90.0,"(1626, 641)",28.6275171624714
634,direction_change,2,90.0,"(1625, 642)",29.705148741418768
