epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,930.283,0.79145,0.29254,0.00057,0.96875,0.95995,0.99043,0.8373,0.61404,0.22265,0.00051,0.0011684,0.0011684,0.0011684
44,951.629,0.77257,0.29094,0.00057,0.97168,0.96187,0.99041,0.80205,0.73774,0.25356,0.00062,0.0011486,0.0011486,0.0011486
45,973.053,0.80416,0.29498,0.00058,0.96809,0.97597,0.9916,0.80433,0.74462,0.24724,0.00061,0.0011288,0.0011288,0.0011288
46,994.445,0.80751,0.29016,0.00058,0.95911,0.98398,0.99179,0.8243,0.67209,0.23563,0.00056,0.001109,0.001109,0.001109
47,1015.93,0.78617,0.30103,0.00057,0.97087,0.97907,0.99202,0.81953,0.69192,0.23247,0.00057,0.0010892,0.0010892,0.0010892
48,1037.53,0.76832,0.28801,0.00056,0.97216,0.97463,0.99108,0.81454,0.69773,0.2391,0.00059,0.0010694,0.0010694,0.0010694
49,1058.87,0.75012,0.27283,0.00054,0.96335,0.9733,0.99109,0.77791,0.83706,0.27686,0.00071,0.0010496,0.0010496,0.0010496
50,1080.27,0.78639,0.27484,0.00058,0.97194,0.97111,0.99261,0.82874,0.67758,0.24154,0.00056,0.0010298,0.0010298,0.0010298
51,1101.59,0.81712,0.29532,0.00058,0.97234,0.96796,0.99165,0.84393,0.60391,0.21934,0.0005,0.00101,0.00101,0.00101
52,1123.3,0.79462,0.28867,0.00058,0.96662,0.96642,0.99043,0.83816,0.61652,0.22914,0.00052,0.0009902,0.0009902,0.0009902
53,1144.75,0.76256,0.28628,0.00054,0.96619,0.9773,0.99199,0.8388,0.62391,0.2205,0.00052,0.0009704,0.0009704,0.0009704
54,1166.34,0.73939,0.27479,0.00053,0.97583,0.97016,0.99144,0.83548,0.64567,0.22363,0.00054,0.0009506,0.0009506,0.0009506
55,1187.78,0.76295,0.28598,0.00055,0.96753,0.9773,0.9914,0.82416,0.67871,0.23343,0.00056,0.0009308,0.0009308,0.0009308
56,1209.21,0.73432,0.27848,0.00053,0.9668,0.97196,0.9916,0.8333,0.6522,0.22515,0.00054,0.000911,0.000911,0.000911
57,1230.54,0.75531,0.2731,0.00055,0.96439,0.97635,0.99137,0.81333,0.72279,0.24416,0.0006,0.0008912,0.0008912,0.0008912
58,1251.97,0.73619,0.26813,0.00053,0.95112,0.9871,0.99121,0.85127,0.58383,0.2205,0.00048,0.0008714,0.0008714,0.0008714
59,1273.52,0.75615,0.27764,0.00055,0.96434,0.97493,0.99108,0.79121,0.78569,0.24952,0.00066,0.0008516,0.0008516,0.0008516
60,1295.11,0.74112,0.26627,0.00054,0.97078,0.97575,0.99214,0.83384,0.63131,0.22165,0.00053,0.0008318,0.0008318,0.0008318
61,1316.41,0.73186,0.27239,0.00052,0.9444,0.98398,0.99133,0.83878,0.60627,0.22543,0.0005,0.000812,0.000812,0.000812
62,1337.89,0.72646,0.26776,0.00052,0.96483,0.97597,0.99196,0.82,0.67255,0.22781,0.00055,0.0007922,0.0007922,0.0007922
63,1359.32,0.73121,0.26744,0.00052,0.96223,0.98642,0.99183,0.84357,0.5911,0.21615,0.00049,0.0007724,0.0007724,0.0007724
64,1380.67,0.73489,0.27641,0.00054,0.96303,0.97385,0.99187,0.82959,0.65278,0.22516,0.00054,0.0007526,0.0007526,0.0007526
65,1401.95,0.71536,0.26305,0.00051,0.97118,0.96662,0.9916,0.83577,0.63698,0.22813,0.00054,0.0007328,0.0007328,0.0007328
66,1423.3,0.72432,0.27225,0.00052,0.96806,0.97105,0.99222,0.84297,0.60433,0.21225,0.00051,0.000713,0.000713,0.000713
67,1444.71,0.69938,0.25098,0.00051,0.97429,0.96117,0.99229,0.82595,0.67024,0.22895,0.00055,0.0006932,0.0006932,0.0006932
68,1466.34,0.69942,0.26547,0.00049,0.96362,0.9733,0.99239,0.84565,0.60939,0.21174,0.00051,0.0006734,0.0006734,0.0006734
69,1487.57,0.70691,0.25723,0.0005,0.96448,0.97063,0.99194,0.83281,0.6446,0.22752,0.00055,0.0006536,0.0006536,0.0006536
70,1508.91,0.71726,0.26259,0.00051,0.9818,0.95995,0.99255,0.83464,0.63918,0.22289,0.00053,0.0006338,0.0006338,0.0006338
71,1530.26,0.69212,0.2515,0.00049,0.96719,0.97597,0.99283,0.84087,0.62476,0.22037,0.00052,0.000614,0.000614,0.000614
72,1551.56,0.69772,0.25621,0.00049,0.96243,0.97597,0.99255,0.83712,0.63619,0.21864,0.00053,0.0005942,0.0005942,0.0005942
73,1572.91,0.67511,0.25277,0.00048,0.97204,0.97482,0.99286,0.83242,0.64957,0.22072,0.00054,0.0005744,0.0005744,0.0005744
74,1594.28,0.67976,0.2512,0.00048,0.97428,0.98131,0.99313,0.83815,0.64601,0.23082,0.00053,0.0005546,0.0005546,0.0005546
75,1615.75,0.68885,0.25869,0.00049,0.97482,0.98195,0.99309,0.86073,0.56439,0.20647,0.00046,0.0005348,0.0005348,0.0005348
76,1637.8,0.67012,0.25022,0.00049,0.97274,0.97597,0.99289,0.85408,0.59047,0.20853,0.00048,0.000515,0.000515,0.000515
77,1659.38,0.67782,0.24505,0.00048,0.96691,0.97538,0.99236,0.84835,0.60158,0.21418,0.00049,0.0004952,0.0004952,0.0004952
78,1681.04,0.67858,0.2535,0.00048,0.96991,0.98131,0.99284,0.84897,0.60145,0.21091,0.0005,0.0004754,0.0004754,0.0004754
79,1703.31,0.67112,0.24812,0.00048,0.98419,0.96262,0.99271,0.85034,0.59749,0.20751,0.00049,0.0004556,0.0004556,0.0004556
80,1724.81,0.67702,0.24264,0.00047,0.97917,0.96796,0.99271,0.85663,0.5713,0.20158,0.00047,0.0004358,0.0004358,0.0004358
81,1746.35,0.65986,0.2358,0.00048,0.97734,0.9733,0.99326,0.85041,0.60231,0.20701,0.0005,0.000416,0.000416,0.000416
82,1767.71,0.67214,0.23958,0.00048,0.98117,0.97415,0.99348,0.85096,0.59658,0.19961,0.00048,0.0003962,0.0003962,0.0003962
83,1790.28,0.66879,0.25832,0.00048,0.97936,0.97864,0.99327,0.85514,0.59192,0.21205,0.00049,0.0003764,0.0003764,0.0003764
84,1813.32,0.65784,0.22844,0.00046,0.97746,0.98421,0.99315,0.85898,0.56678,0.19265,0.00047,0.0003566,0.0003566,0.0003566
85,1834.62,0.65,0.23982,0.00046,0.97605,0.97944,0.99285,0.86144,0.5597,0.19899,0.00046,0.0003368,0.0003368,0.0003368
86,1857.57,0.65037,0.23262,0.00045,0.98007,0.9733,0.99293,0.85175,0.59267,0.20432,0.00049,0.000317,0.000317,0.000317
87,1879.93,0.65213,0.24126,0.00046,0.97353,0.98216,0.99298,0.85054,0.59167,0.20108,0.00049,0.0002972,0.0002972,0.0002972
88,1902.33,0.6498,0.24176,0.00046,0.97637,0.97997,0.99335,0.85226,0.59318,0.20297,0.00049,0.0002774,0.0002774,0.0002774
89,1923.94,0.65621,0.23825,0.00046,0.96484,0.98932,0.99309,0.85044,0.59065,0.20364,0.00049,0.0002576,0.0002576,0.0002576
90,1946.85,0.64307,0.23334,0.00045,0.97945,0.98264,0.99331,0.85083,0.59133,0.20495,0.00049,0.0002378,0.0002378,0.0002378
91,1969.99,0.58741,0.20936,0.00051,0.97612,0.98254,0.99301,0.85132,0.58948,0.21034,0.00049,0.000218,0.000218,0.000218
92,1991.08,0.58023,0.20491,0.0005,0.97804,0.9733,0.99314,0.84336,0.61058,0.21763,0.00051,0.0001982,0.0001982,0.0001982
93,2012.71,0.57437,0.2139,0.00049,0.97149,0.97864,0.99319,0.85231,0.58968,0.20811,0.00049,0.0001784,0.0001784,0.0001784
94,2033.88,0.57197,0.2099,0.00049,0.9723,0.97597,0.99302,0.85496,0.58529,0.20702,0.00048,0.0001586,0.0001586,0.0001586
95,2054.97,0.57892,0.205,0.00049,0.96714,0.98237,0.99318,0.85195,0.58624,0.20858,0.00048,0.0001388,0.0001388,0.0001388
96,2076.04,0.56621,0.2074,0.00048,0.97853,0.97338,0.99322,0.86144,0.56311,0.19744,0.00046,0.000119,0.000119,0.000119
97,2098,0.56724,0.20383,0.00048,0.95937,0.98531,0.99287,0.85911,0.56908,0.20663,0.00047,9.92e-05,9.92e-05,9.92e-05
98,2119.15,0.57328,0.21562,0.00048,0.98183,0.96796,0.99302,0.85546,0.58182,0.20889,0.00048,7.94e-05,7.94e-05,7.94e-05
99,2140.77,0.55686,0.21128,0.00047,0.97849,0.97162,0.993,0.85286,0.59052,0.20757,0.00049,5.96e-05,5.96e-05,5.96e-05
100,2162.65,0.56211,0.20583,0.00048,0.97334,0.9748,0.99302,0.8534,0.58811,0.20769,0.00049,3.98e-05,3.98e-05,3.98e-05
